channel_id,title,description,published_at,country,view_count,comment_count,subscriber_count,video_count,is_verified,keywords,profile_picture_url
UCm63tB8wsKOVvxoU4iMpS2A,Dev Aprender | Jhonatan de Souza,"Aqui você irá aprender:
✔️Segredos para se tornar um PROFISSIONAL bem remunerado trabalhando com programação Python
✔️ Freelancing, Dicas de Carreira, trabalho remoto, como ganhar mais como programador
✔️ Javascript, SQL, Python, Automação, Aplicações do zero!

Redes Sociais
▶Instagram: https://www.instagram.com/devaprender/  
",2018-10-07T21:24:04Z,BR,19823763,0,329000,342,False,"""dev aprender"" ""deve aprender"" javascript sql c# html css programação algorítimos ""banco de dados"" python bot robô",https://yt3.ggpht.com/VKuVrrgTqg39qayXEgez_e4YSj15EzKI5gKQkghem7EOMGgcNtjp47CL9HMMEYESvS7qtfnyBhM=s88-c-k-c0x00ffffff-no-rj
UCLsvrIQm-VIMJ0wWcsAPRIA,FV Tutoriais,"Te Ajudo a Sintonizar e Configurar Sua Televisão

Vídeos instrutivos com passo a passo completo sobre televisores, roteadores, informatica
Inbox, Review

Vídeos toda segunda as 19:00


",2018-12-02T23:39:25Z,BR,13011764,0,52900,221,False,"""FV Tutoriais"" ""Tv sem sinal""",https://yt3.ggpht.com/UwSgDLy819UPOBsTAG3ZGQZ-l6UyI6q9MRbVA7om9LaMrja7PiIVU3LiTVENX53OFXB4rLF43Uw=s88-c-k-c0x00ffffff-no-rj
UC9WucW7_3HiejAY3Y9L80oQ,Thales Veloso,"Canal especializado em tutoriais e vídeos de:

   ➡️ JavaScript, C#, RPA, Tecnologia
   ➡️ Python (lógica de programação)
   ➡️ Matemática e Estatística
   ➡️ Análise de Dados

▶️ Vídeos sobre dicas e melhoria de desempenho toda terça e Quinta",2010-08-23T02:36:37Z,BR,1911426,0,19700,993,False,"python programação tecnologia pandas ""analise de dados"" c# TI ""tecnologia da informação"" ""Python Flask"" ""Python Kivy""",https://yt3.ggpht.com/EidH9PIvqCOijEwDa1RqlWXFL9ifCd_oZPCyiBL2htwER7VXDqSjC6QuT2oW4x98YEuDMu6LIg=s88-c-k-c0x00ffffff-no-rj
UCuQjAtz3UyPpKmbR1p8NCLw,Tech Decode Tutorials,"Today, software is all around us. We use numerous software in our day to day lives, be it for work or study.

Before using those softwares, we need to download and install them on our machines.
But there are times when people face various issues while downloading and installing those softwares.

This is when TechDecode Tutorials comes in picture for the rescue.

At Tech Decode Tutorials, we make how-to download , install and startup guide tutorials for softwares.
We make content related to computer science like Programming, DSA, Cyber Security.

Our mission is to deliver technical tutorials with clear, crisp, and to-the-point content on a wide range of subjects without any preconditions and impediments.


Facebook Page: https://www.facebook.com/techdecodetutorials

Instagram Page: https://www.instagram.com/techdecodetutorials

Linkedin Page: https://www.linkedin.com/company/techdecodetutorials

Twitter Page: https://twitter.com/DecodeTutorials


",2014-10-24T21:02:14Z,IN,14890302,0,87500,160,False,"""programming hub"" ""java interpreter"" ""javascript compiler"" ""compiler vs interpreter"" ""babel tutorial"" ""best ide"" golang ""ide for java"" ""c compiler for windows"" mingw ""how to install turbo c"" ""eclipse ide"" ""gcc compiler"" ""online python compiler"" ""c compiler"" ""c++ compiler"" techdecode ""women in tech"" ""how to install"" ""how to download"" ""how to run"" ""download and install"" java c++ c# go php python javascript html css reactjs nodejs sql rstudio bash windows mac macos linux ""visual studio code"" vscode",https://yt3.ggpht.com/x7as9uNmuZWEkow40vn75xjqKqkWiUz1mm4vFNxiMXGxKlIMqlfnSOrnU_IAhZiVC3VLlDqK_g=s88-c-k-c0x00ffffff-no-rj
UCz2v7BrS78_g2SbA57kSdWg,Felipe Talks,"Bem-vindo ao Felipe Talks, o canal onde você pode explorar tudo relacionado ao mundo do Hacking e Cyber Security. O meu objetivo é falar sobre tudo, desde vazamentos de dados e ataques de hackers até conhecimentos técnicos e histórias interessantes desse universo. 

O meu principal objetivo aqui no canal é compartilhar com você a minha paixão por este fascinante universo de Tecnologia e Segurança da Informação, para que você também se apaixone por ele. Então, sente-se, relaxe e sinta-se em casa enquanto te levo a uma emocionante jornada pelo mundo do Hacking e da Segurança da Informação. 

Obrigado por visitar o Felipe Talks e nos vemos do outro lado do firewall!

*Para publicidades ou parcerias, sinta-se à vontade para enviar um e-mail para: contatofelipetalks@gmail.com
",2019-11-02T22:12:45.244651Z,BR,637434,0,1990,253,False,tecnologia programação computação hacking cybersecurity programador programadora programadores TI ciênciadacomputação segurançadainformação programador programacao dev computacao programador hacker hacking hackers hackear hackeando segurancadainformacao cyber hackeado cienciadacomputacao programadoras,https://yt3.ggpht.com/gXmo-jh03J61L5E5ZNwPKtathhyYWNmzdJ-It73QriFw6UK6pg1V4ODnmTrNvgEWmcU3RveYog=s88-c-k-c0x00ffffff-no-rj
UC3twHmWQwtqEO7u-gB_2f7g,DevSuperior,Ajudamos estudantes e profissionais de programação a ingressar ou se recolocar na carreira,2020-05-24T16:38:56.558433Z,BR,2476471,0,74300,219,False,"devsuperior ""semana devsuperior"" ""curso de programação"" programação ""tutorial de programação"" ""aula de programação"" ""nelio alves"" java ""java web"" ""spring boot"" react reactjs ""react native"" ""dev superior"" computação uml ""modelo de domínio"" ""back end"" ""front end"" desenvolvimento ""desenvolvimento web"" web mobile jpa hibernate docker microsserviços ""spring framework"" sql ""banco de dados""",https://yt3.ggpht.com/ytc/AIdro_mNBSmXVgLo6ZAe0uCCZiOo4H2Iy4ioP-OiU-jVb_zMXg=s88-c-k-c0x00ffffff-no-rj
UCCigEaEk-_gOrNlPdseG1pA,Alexa Real,"you give a man a fish ... you feed him for a day
you give a chicken tnt ... no, no, no.

Now I do have tiktok:
https://www.tiktok.com/@realalexareal
",2021-04-05T10:16:22.123098Z,US,2589664576,0,3670000,852,False,"""minecraft memes"" minecraft meme ""alexa real""",https://yt3.ggpht.com/1_shYzJRf7U8wiswDu_vKeOus9qvYdRVKLy-rF1AbgNeol6krmwKEYIUJeREtDlIeujHdyvGgw=s88-c-k-c0x00ffffff-no-rj
UCCigEaEk-_gOrNlPdseG1pA,Alexa Real,"you give a man a fish ... you feed him for a day
you give a chicken tnt ... no, no, no.

Now I do have tiktok:
https://www.tiktok.com/@realalexareal
",2021-04-05T10:16:22.123098Z,US,2589664576,0,3670000,852,False,"""minecraft memes"" minecraft meme ""alexa real""",https://yt3.ggpht.com/1_shYzJRf7U8wiswDu_vKeOus9qvYdRVKLy-rF1AbgNeol6krmwKEYIUJeREtDlIeujHdyvGgw=s88-c-k-c0x00ffffff-no-rj
UCHbkYl8atT78CkRz7rjDp4Q,Programe Assim ,"Olá, seja bem vindo ao canal Programe Assim, aqui você encontra conteúdos sobre Tecnologia da Informação, Programação, dicas...
Inscreva-se no canal e ative o sininho.
",2021-02-03T01:21:15.71777Z,BR,9418,0,56,26,False,ProgrameAssim Programar Java Web,https://yt3.ggpht.com/tGQxhZZUXXTi10BWcIV1CGZX_0E6DPbsf84bM99zCCcOqU8WfpgXBnSpM5SiMp9hhU673K-OgA=s88-c-k-c0x00ffffff-no-rj
UC39XuoRWNr_clzreEgvjU-Q,axol,"i playing roblox
 ",2020-09-18T23:28:19.026149Z,GB,1199923449,0,2270000,1546,False,"minecraft meme memes ""minecraft meme"" ""minecraft memes"" funny axol",https://yt3.ggpht.com/nXZIYSFzT9PEY2rifNCNfHsFquiFrM6Lh7E7NbpVZKBkpPX9s1NqwvPdkL6S6O8zOqBhkKRusg=s88-c-k-c0x00ffffff-no-rj
